,TRASCONTINENTAL,,,,,,,,,,,
,CARTA DE CREDITO / BCO. SCOTIABANK,,,,,,,,,,SE ADICIONO POLIZS,
,VP. TORRENS   LLEGO :  09.05.12,,,,,,PEDIDO 049-11   09  UNIDADES  FORLAND,,,,,
,B/L  EUKOSHPU1081065,,MFTO.  2011- ,,,,,,,,,
,F/C FT11190PE,10.03.12,,,,,,,,,,
, , ,,,,,,,,,,
,,,,,,,,,,,,
,CODIGO,MARCA,TIPO,MODELO,POLIZA,# ORD.,CHASIS,,,MOTOR,COLOR,AÑO
,MODELO,,,,,,,,,,,FAB.
,,,,,,,,,,,,
35,BJ5122V5PDC-1,FORLAND,CAMION,INCAPOWER F130,178610,004819,LVBV5PDC8CN019054,TRAVESIAS,,YC6J19020J1DF8C00027,AZUL,2012
36,BJ5122V5PDC-1,FORLAND,CAMION,INCAPOWER F130,178611,004820,LVBV5PDC4CN019875,TRAVESIAS,,YC6J19020J1DF8C00035,BLANCO,2012
37,BJ5122V5PDC-1,FORLAND,CAMION,INCAPOWER F130,178622,004821,LVBV5PDC6CN019876,TRAVESIAS,,YC6J19020J1DF8C00030,BLANCO,2012
38,BJ5122V5PDC-1,FORLAND,CAMION,INCAPOWER F130,178623,004822,LVBV5PDC8CN019877,TRAVESIAS,,YC6J19020J1DF8C00023,BLANCO,2012
39,BJ5122V5PDC-A1,FORLAND,CAMION,INCAPOWER F110,179314,004781,LVBV5PDC1CN019042,TRAVESIAS,,YC4E16020E37F5C00047,ROJO,2012
40,BJ5122V5PDC-A1,FORLAND,CAMION,INCAPOWER F110,178649,004782,LVBV5PDC9CN019046,TRAVESIAS,,YC4E16020E37F5C00051,BLANCO,2012
41,BJ5122V5PDC-A1,FORLAND,CAMION,INCAPOWER F110,178659,004783,LVBV5PDC3CN019043,TRAVESIAS,,YC4E16020E37F5C00046,ROJO,2012
42,BJ5122V5PDC-A1,FORLAND,CAMION,INCAPOWER F110,178920,004784,LVBV5PDC2CN019048,TRAVESIAS,,YC4E16020E37F5C00045,AZUL,2012
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,TRASCONTINENTAL,,,,,,,,,,,
,"CARTA DE CREDITO / BCO, SCOTIABANK",,,,,,,,,,,
,VP. MORNING CATHERINE   LLEGO :  ,,,,,,PEDIDO 03-12   100  UNIDADES  GONOW,,,,,
,B/L  EUKOSHPU1086420,,MFTO.  2011- ,,,,,,,,,
,F/C GAH2012024,16.04.12,,,,,,,,CAMBIO CILINDRADA DE MOTOR 998,,
,,,,,,,,,,,,
,CODIGO,MARCA,TIPO,MODELO,POLIZA,# ORD.,CHASIS,,,MOTOR,COLOR,AÑO
,MODELO,,,,,,,,,,,FAB.
,,,,,,,,,,,,
1,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3110CX615360   ,TRAVESIAS,,LJ465QR1E1 C03322320 ,ROJO VINO,2012
2,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3110CX615469   ,TRAVESIAS,,LJ465QR1E1 C03322288 ,ROJO VINO,2012
3,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3110CX615486   ,TRAVESIAS,,LJ465QR1E1 C03322274 ,ROJO VINO,2012
4,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3111CX552477   ,TRAVESIAS,,LJ465QR1E1 C03322371 ,ROJO VINO,2012
5,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3111CX552480   ,TRAVESIAS,,LJ465QR1E1 C03322289 ,ROJO VINO,2012
6,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3111CX615366   ,TRAVESIAS,,LJ465QR1E1 C03322416 ,ROJO VINO,2012
