,SALDO INICIAL 2011,,,,,,,,,,,,,,,,,,,,,
,VP.   :  CHANG TAI HONG  LLEGO:  16.02.11 ,,,,,,PRODUCCION  OCTUBRE    -2010   20 UNIDADES  INDONESIA,,,,,,,,,,,,,,,
,B/L  KKLUJKT242473,,,,,,,,,,,,,,,,,,,,,
,C2WE-10-2407-110L-01,,28.01.11,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,VERSION,,SPEC,MODELO,POLIZA,# ORD.,CHASIS,,MOTOR,COLOR,AÑO,TRANSM.,,,,,,,,,,FAB.
,,,,,,,,,,,,,,,,,,,,,,
1,MECANICA,,ZQ,TERIOS LONG,58822,125336,MHKG2CN20BK000480,,3SZ DBN7993,BEIGE,2010,,,,,,,,,,,
2,MECANICA,,ZQ,TERIOS LONG,58801,125337,MHKG2CN20BK000481,,3SZ DBU7592,GRIS,2010,,,,,,,,,,,
3,MECANICA,,ZQ,TERIOS LONG,58812,125338,MHKG2CN20BK000482,,3SZ DBN8004,MARRON PARDO,2010,,,,,,,,,,,
4,MECANICA,,ZQ,TERIOS LONG,58806,125339,MHKG2CN20BK000483,,3SZ DBU7596,NEGRO,2010,,,,,,,,,,,
5,MECANICA,,ZQ,TERIOS LONG,58802,125340,MHKG2CN20BK000484,,3SZ DBU7579,PLATA,2010,,,,,,,,,,,
6,MECANICA,,ZQ,TERIOS LONG,58803,125341,MHKG2CN20BK000485,,3SZ DBU8246,BEIGE,2010,,,,,,,,,,,
7,MECANICA,,ZQ,TERIOS LONG,58800,125342,MHKG2CN20BK000486,,3SZ DBV0027,GRIS,2010,,,,,,,,,,,
8,MECANICA,,ZQ,TERIOS LONG,58811,125343,MHKG2CN20BK000487,,3SZ DBU7930,MARRON PARDO,2010,,,,,,,,,,,
9,MECANICA,,ZQ,TERIOS LONG,58804,125344,MHKG2CN20BK000488,,3SZ DBV4204,NEGRO,2010,,,,,,,,,,,
10,MECANICA,,ZQ,TERIOS LONG,58799,125345,MHKG2CN20BK000489,,3SZ DBV2878,PLATA,2010,,,,,,,,,,,
11,AUTOMATICA,,LUXURY,TERIOS LONG,58814,125346,MHKG2CP40BK002620,,3SZ DBS3860,BEIGE,2010,,,,,,,,,,,
12,AUTOMATICA,,LUXURY,TERIOS LONG,58813,125347,MHKG2CP40BK002621,,3SZ DBS2404,NEGRO,2010,,,,,,,,,,,
13,AUTOMATICA,,LUXURY,TERIOS LONG,58809,125348,MHKG2CP40BK002622,,3SZ DBS6468,GRIS,2010,,,,,,,,,,,
14,AUTOMATICA,,LUXURY,TERIOS LONG,58816,125349,MHKG2CP40BK002623,,3SZ DBS6365,MARRON PARDO,2010,,,,,,,,,,,
15,AUTOMATICA,,LUXURY,TERIOS LONG,58807,125350,MHKG2CP40BK002624,,3SZ DBU7577,PLATA,2010,,,,,,,,,,,
16,AUTOMATICA,,LUXURY,TERIOS LONG,58810,125351,MHKG2CP40BK002625,,3SZ DBU7576,BEIGE,2010,,,,,,,,,,,
17,AUTOMATICA,,LUXURY,TERIOS LONG,58805,125352,MHKG2CP40BK002626,,3SZ DBU7598,GRIS,2010,,,,,,,,,,,
18,AUTOMATICA,,LUXURY,TERIOS LONG,58815,125353,MHKG2CP40BK002627,,3SZ DBU7971,MARRON PARDO,2010,,,,,,,,,,,
19,AUTOMATICA,,LUXURY,TERIOS LONG,58817,125354,MHKG2CP40BK002628,,3SZ DBV0036,NEGRO,2010,,,,,,,,,,,
20,AUTOMATICA,,LUXURY,TERIOS LONG,58808,125355,MHKG2CP40BK002629,,3SZ DBV1215,PLATA,2010,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"CARTA DE CREDITO / BCO, SCOTIABANK",,,,,,,,,,,,,,,,,,,,,
,VP.   :  ONYX ARROW  LLEGO:  23.07.11 ,,,,,,PRODUCCION JUNIO -2011   10 UNIDADES  JAPON (1ER. PARCIAL),,,,,,,,,,,,,,,
,B/L  KKLUJPN379548,,,,,,,,,,,,,,,,,,,,,
,13195-1106-0001,,24.06.11,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,VERSION,,SPEC,MODELO,POLIZA,# ORD.,CHASIS,,MOTOR,COLOR,AÑO,TRANSM.,,,,,,,,,,FAB.
,,,,,,,,,,,,,,,,,,,,,,
1,ALLOY 11,,J200LG-GMDF2,TERIOS,266893,8361,JDAJ200G0B1031352,,3SZ 2687810,GRIS,2011,,,,,,,,,,,
2,ALLOY 11,,J200LG-GMDF2,TERIOS,266900,8362,JDAJ200G0B1031364,,3SZ 2686697,PLATA,2011,,,,,,,,,,,
3,ALLOY 11,,J200LG-GMDF2,TERIOS,266903,8363,JDAJ200G0B1031401,,3SZ 2687337,PLATA,2011,,,,,,,,,,,
4,ALLOY 11,,J200LG-GMDF2,TERIOS,266904,8364,JDAJ200G0B1031422,,3SZ 2686318,BEIGE,2011,,,,,,,,,,,
5,ALLOY 11,,J200LG-GMDF2,TERIOS,266905,8365,JDAJ200G0B1031444,,3SZ 2686836,PLATA,2011,,,,,,,,,,,
6,ALLOY 11,,J200LG-GMDF2,TERIOS,266906,8366,JDAJ200G0B1031466,,3SZ 2689232,BEIGE,2011,,,,,,,,,,,
7,ALLOY 11,,J200LG-GMDF2,TERIOS,266907,8367,JDAJ200G0B1031489,,3SZ 2687648,GRIS,2011,,,,,,,,,,,
8,ALLOY 11,,J200LG-GMDF2,TERIOS,266908,8368,JDAJ200G0B1031514,,3SZ 2686653,ROJO,2011,,,,,,,,,,,
